,time,current,mrpm,T,T1,T2
0,0,80,150,40.0,40.0,40.0
1,1,80,150,40.084203251695115,40.000980728829184,40.08322252286593
2,2,80,150,40.168397741894466,40.00196144789995,40.16643629399451
3,3,80,150,40.25258347151846,40.0029421572124,40.24964131430606
4,4,80,150,40.336760441487456,40.00392285676663,40.33283758472083
5,5,80,150,40.4209286527217,40.00490354656274,40.41602510615896
6,6,80,150,40.50508810614133,40.00588422660081,40.49920387954051
7,7,80,150,40.58923880266639,40.00686489688096,40.582373905785424
8,8,80,150,40.673380743216825,40.00784555740328,40.66553518581355
9,9,80,150,40.75751392871253,40.00882620816786,40.748687720544666
10,10,80,150,40.84163836007323,40.00980684917481,40.83183151089842
11,11,80,150,40.925754038218585,40.01078748042421,40.91496655779437
12,12,80,150,41.00986096406817,40.011768101916175,40.998092862152
13,13,80,150,41.09395913854145,40.01274871365079,41.08121042489066
14,14,80,150,41.17804856255779,40.01372931562815,41.16431924692965
15,15,80,150,41.26212923703649,40.014709907848356,41.24741932918813
16,16,80,150,41.346201162896705,40.01569049031151,41.33051067258519
17,17,80,150,41.43026434105752,40.01667106301771,41.41359327803981
18,18,80,150,41.51431877243793,40.01765162596705,41.496667146470884
19,19,80,150,41.59836445795682,40.01863217915962,41.579732278797195
20,20,80,150,41.68240139853296,40.01961272259552,41.66278867593744
21,21,80,150,41.76642959508507,40.02059325627485,41.74583633881022
22,22,80,150,41.85044904853174,40.021573780197706,41.82887526833404
23,23,80,150,41.93445975979148,40.02255429436419,41.911905465427296
24,24,80,150,42.0184617297827,40.02353479877439,41.9949269310083
25,25,80,150,42.10245495942368,40.024515293428415,42.07793966599527
26,26,80,150,42.18643944963266,40.02549577832635,42.160943671306306
27,27,80,150,42.27041520132775,40.0264762534683,42.24393894785944
28,28,80,150,42.35438221542695,40.02745671885436,42.32692549657259
29,29,80,150,42.4383404928482,40.02843717448462,42.40990331836358
30,30,80,150,42.52229003450934,40.02941762035919,42.49287241415015
31,31,80,150,42.606230841328085,40.03039805647816,42.575832784849915
32,32,80,150,42.69016291422206,40.03137848284163,42.658784431380425
33,33,80,150,42.774086254108795,40.03235889944969,42.74172735465911
34,34,80,150,42.858000861905765,40.033339306302445,42.82466155560332
35,35,80,150,42.94190673853029,40.03431970339999,42.9075870351303
36,36,80,150,43.02580388489962,40.03530009074242,42.9905037941572
37,37,80,150,43.10969230193089,40.03628046832983,43.07341183360107
38,38,80,150,43.19357199054119,40.03726083616232,43.156311154378876
39,39,80,150,43.27744295164746,40.03824119423999,43.23920175740747
40,40,80,150,43.36130518616655,40.03922154256293,43.32208364360362
41,41,80,150,43.44515869501524,40.04020188113124,43.40495681388399
42,42,80,150,43.52900347911017,40.04118220994502,43.48782126916516
43,43,80,150,43.61283953936797,40.042162529004365,43.570677010363596
44,44,80,150,43.69666687670505,40.04314283830937,43.65352403839569
45,45,80,150,43.780485492037855,40.04412313786014,43.73636235417771
46,46,80,150,43.864295386282606,40.04510342765676,43.81919195862585
47,47,80,150,43.94809656035554,40.04608370769934,43.9020128526562
48,48,80,150,44.03188901517271,40.04706397798797,43.98482503718475
49,49,80,150,44.11567275165014,40.04804423852274,44.067628513127396
50,50,80,150,44.1994477707037,40.04902448930376,44.150423281399945
51,51,80,150,44.28321407324921,40.050004730331125,44.233209342918094
52,52,80,150,44.36697166020238,40.050984961604925,44.31598669859746
53,53,80,150,44.45072053247881,40.05196518312526,44.39875534935355
54,54,80,150,44.534460690994024,40.052945394892234,44.48151529610178
55,55,80,150,44.618192136663396,40.053925596905934,44.56426653975747
56,56,80,150,44.701914870402305,40.05490578916646,44.647009081235844
57,57,80,150,44.78562889312593,40.055885971673916,44.72974292145202
58,58,80,150,44.869334205749425,40.05686614442839,44.81246806132104
59,59,80,150,44.95303080918782,40.05784630742998,44.89518450175784
60,60,80,150,45.03671870435603,40.05882646067879,44.977892243677246
61,61,80,150,45.12039789216891,40.05980660417491,45.06059128799401
62,62,80,150,45.204068373541205,40.060786737918434,45.14328163562277
63,63,80,150,45.287730149387556,40.06176686190947,45.22596328747809
64,64,80,150,45.371383220622505,40.062746976148105,45.30863624447441
65,65,80,150,45.45502758816053,40.06372708063444,45.39130050752609
66,66,80,150,45.53866325291597,40.06470717536858,45.47395607754739
67,67,80,150,45.622290215803105,40.065687260350614,45.55660295545248
68,68,80,150,45.705908477736074,40.06666733558063,45.639241142155434
69,69,80,150,45.789518039628945,40.06764740105874,45.72187063857021
70,70,80,150,45.87311890239573,40.06862745678504,45.804491445610694
71,71,80,150,45.95671106695028,40.06960750275962,45.88710356419066
72,72,80,150,46.04029453420637,40.07058753898257,45.9697069952238
73,73,80,150,46.123869305077704,40.071567565454004,46.0523017396237
74,74,80,150,46.20743538047786,40.07254758217401,46.13488779830385
75,75,80,150,46.29099276132034,40.07352758914269,46.21746517217765
76,76,80,150,46.37454144851853,40.07450758636014,46.300033862158394
77,77,80,150,46.458081442985744,40.07548757382645,46.382593869159294
78,78,80,150,46.54161274563518,40.076467551541725,46.46514519409345
79,79,80,150,46.625135357379946,40.07744751950606,46.54768783787388
80,80,80,150,46.70864927913304,40.07842747771954,46.6302218014135
81,81,80,150,46.79215451180741,40.079407426182286,46.712747085625125
82,82,80,150,46.87565105631586,40.08038736489438,46.79526369142148
83,83,80,150,46.95913891357111,40.08136729385591,46.8777716197152
84,84,80,150,47.04261808448581,40.082347213066996,46.96027087141881
85,85,80,150,47.12608856997247,40.08332712252772,47.04276144744475
86,86,80,150,47.20955037094353,40.08430702223818,47.125243348705354
87,87,80,150,47.29300348831134,40.08528691219848,47.20771657611287
88,88,80,150,47.37644792298815,40.0862667924087,47.290181130579455
89,89,80,150,47.459883675886104,40.08724666286896,47.37263701301715
90,90,80,150,47.543310747917246,40.08822652357934,47.45508422433792
91,91,80,150,47.62672913999356,40.08920637453994,47.537522765453616
92,92,80,150,47.710138853026876,40.09018621575087,47.61995263727601
93,93,80,150,47.79353988792897,40.09116604721221,47.70237384071677
94,94,80,150,47.87693224561153,40.09214586892407,47.784786376687464
95,95,80,150,47.96031592698611,40.09312568088654,47.86719024609957
96,96,80,150,48.04369093296418,40.09410548309971,47.94958544986447
97,97,80,150,48.127057264457136,40.09508527556369,48.03197198889345
98,98,80,150,48.21041492237629,40.096065058278576,48.114349864097704
99,99,80,150,48.29376390763278,40.09704483124446,48.19671907638832
100,100,80,150,48.37710422113773,40.098024594461435,48.2790796266763
101,101,80,150,48.46043586380216,40.09900434792961,48.361431515872546
102,102,80,150,48.54375883653694,40.09998409164907,48.44377474488786
103,103,80,150,48.627073140252875,40.10096382561992,48.526109314632954
104,104,80,150,48.710378775860704,40.101943549842254,48.60843522601844
105,105,80,150,48.79367574427101,40.10292326431617,48.69075247995485
106,106,80,150,48.87696404639436,40.10390296904176,48.7730610773526
107,107,80,150,48.960243683141144,40.10488266401913,48.855361019122014
108,108,80,150,49.04351465542169,40.10586234924837,48.93765230617332
109,109,80,150,49.12677696414623,40.10684202472957,49.01993493941666
