time,current,mrpm,T
0,80,160,40
1,80,160,136.611871
2,80,160,224.3387784
3,80,160,304.1023865
4,80,160,376.727563
5,80,160,442.9525568
6,80,160,503.4381059
7,80,160,558.7755871
8,80,160,609.4943087
9,80,160,656.0680368
10,80,160,698.9208348
11,80,160,738.432289
12,80,160,774.9421845
13,80,160,808.7546899
14,80,160,840.1421012
15,80,160,869.3481929
16,80,160,896.5912159
17,80,160,922.0665802
18,80,160,945.9492565
19,80,160,968.3959239
20,80,160,989.5468925
21,80,160,1009.527824
22,80,160,1028.45127
23,80,160,1046.418053
24,80,160,1063.518492
25,80,160,1079.833514
26,80,160,1095.435636
27,80,160,1110.389849
28,80,160,1124.754408
29,80,160,1138.581542
30,80,160,1151.918083
31,80,160,1164.806036
32,80,160,1177.283083
33,80,160,1189.383038
34,80,160,1201.136254
35,80,160,1212.569982
36,80,160,1223.708701
37,80,160,1234.574406
38,80,160,1245.186868
39,80,160,1255.56387
40,80,160,1265.72141
41,80,160,1275.673893
42,80,160,1285.434294
43,80,160,1295.014311
44,80,160,1304.424494
45,80,160,1313.67437
46,80,160,1322.772544
47,80,160,1331.726801
48,80,160,1340.544186
49,80,160,1349.231087
50,80,160,1357.793296
51,80,160,1366.236078
52,80,160,1374.56422
53,80,160,1382.782085
54,80,160,1390.893653
55,80,160,1398.90256
56,80,160,1406.812137
57,80,160,1414.625436
58,80,160,1422.345265
59,80,160,1429.974207
60,80,160,1437.514647
61,80,160,1444.968788
62,80,160,1452.338676
63,80,160,1459.626209
64,80,160,1466.833156
65,80,160,1473.961166
66,80,160,1481.011786
67,80,160,1487.986465
68,80,160,1494.886568
69,80,160,1501.713381
70,80,160,1508.46812
71,80,160,1515.151939
72,80,160,1521.765934
73,80,160,1528.311147
74,80,160,1534.788576
75,80,160,1541.199176
76,80,160,1547.54386
77,80,160,1553.823509
78,80,160,1560.038971
79,80,160,1566.191062
80,80,160,1572.280574
81,80,160,1578.308273
82,80,160,1584.274903
83,80,160,1590.181187
84,80,160,1596.027826
85,80,160,1601.815508
86,80,160,1607.5449
87,80,160,1613.216658
88,80,160,1618.831419
89,80,160,1624.38981
